t, 1_1_angle, 1_1_speed, 2_1_angle, 2_1_speed, 3_1_angle, 3_1_speed
  0.0000, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.0100, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.0200, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.0300, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.0400, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.0500, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.0600, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.0700, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.0800, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.0900, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.1000, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.1100, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.1200, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.1300, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.1400, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.1500, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.1600, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.1700, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.1800, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.1900, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.2000, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.2100, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
  0.2200, 0.359506, 1.000000, 0.953097, 1.000000, 0.614821, 1.000000
