# Current_8500.csv run at 2000-09-01 12:00:00 PDT on 9883 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
FEEDER_REG,468.921467,-358.596524,-528.708713,-205.374377,20.702608,527.588911
VREG2,161.408891,-249.561383,-261.786849,-1.258177,83.607607,196.063447
VREG3,236.020283,-259.761030,-336.146683,-58.998619,40.033377,231.356356
VREG4,81.061644,-36.745668,-91.974080,-51.833722,-7.463658,89.744059
HVMV_Sub,52.098879,-8.001665,-28.691708,-38.277276,-23.407171,46.278941
T21396254A,0.483517,-0.622219,0.000000,0.000000,0.000000,0.000000
T5321859B,0.000000,0.000000,-1.473601,-0.003790,0.000000,0.000000
T5391741B,0.000000,0.000000,-1.531705,-0.151809,0.000000,0.000000
T5293672A,0.443161,-0.683326,0.000000,0.000000,0.000000,0.000000
T21474711C,0.000000,0.000000,0.000000,0.000000,0.310448,0.842453
T5260488A,1.293152,-1.578352,0.000000,0.000000,0.000000,0.000000
T5391758B,0.000000,0.000000,-0.905527,-0.092410,0.000000,0.000000
T228091193A,1.737330,-2.186325,0.000000,0.000000,0.000000,0.000000
T228091193B,0.000000,0.000000,-3.035536,-0.421127,0.000000,0.000000
T228091193C,0.000000,0.000000,0.000000,0.000000,1.120464,2.879212
T5302862C,0.000000,0.000000,0.000000,0.000000,0.340930,0.844397
T21236413B,0.000000,0.000000,-3.006744,-0.016717,0.000000,0.000000
T5302468A,0.329759,-0.433732,0.000000,0.000000,0.000000,0.000000
T5294787A,0.292079,-0.450563,0.000000,0.000000,0.000000,0.000000
T5157715B,0.000000,0.000000,-0.560936,-0.115526,0.000000,0.000000
T5355768B,0.000000,0.000000,-1.465253,-0.004779,0.000000,0.000000
T5138562A,0.806450,-1.043367,0.000000,0.000000,0.000000,0.000000
T5355934A,0.288524,-0.449842,0.000000,0.000000,0.000000,0.000000
T5293483A,0.816690,-1.074445,0.000000,0.000000,0.000000,0.000000
T21399762A,0.434858,-0.675693,0.000000,0.000000,0.000000,0.000000
T5138650C,0.000000,0.000000,0.000000,0.000000,0.227935,0.558953
T5323242B,0.000000,0.000000,-1.513479,-0.005204,0.000000,0.000000
T28127090C,0.000000,0.000000,0.000000,0.000000,0.563756,1.403637
T5138769A,0.323878,-0.426435,0.000000,0.000000,0.000000,0.000000
T5338896A,0.441876,-0.665536,0.000000,0.000000,0.000000,0.000000
T5355586B,0.000000,0.000000,-1.481104,-0.001438,0.000000,0.000000
T5293471A,0.818998,-1.076640,0.000000,0.000000,0.000000,0.000000
T5293471B,0.000000,0.000000,-1.488635,-0.158342,0.000000,0.000000
T5293471C,0.000000,0.000000,0.000000,0.000000,0.579878,1.404545
T5338954A,0.728079,-1.116051,0.000000,0.000000,0.000000,0.000000
T21459629C,0.000000,0.000000,0.000000,0.000000,1.882194,4.287120
T5260562A,1.302056,-1.624312,0.000000,0.000000,0.000000,0.000000
T21393486C,0.000000,0.000000,0.000000,0.000000,0.319513,0.844406
T5293518B,0.000000,0.000000,-1.478222,-0.159217,0.000000,0.000000
T226195194C,0.000000,0.000000,0.000000,0.000000,0.448273,1.444391
T21383494B,0.000000,0.000000,-1.476588,-0.051419,0.000000,0.000000
T5251863C,0.000000,0.000000,0.000000,0.000000,0.448185,1.444290
T5293645A,0.732538,-1.129002,0.000000,0.000000,0.000000,0.000000
T21482431A,0.517386,-0.625846,0.000000,0.000000,0.000000,0.000000
T5293480A,0.489891,-0.641175,0.000000,0.000000,0.000000,0.000000
T21469911A,0.858090,-1.167646,0.000000,0.000000,0.000000,0.000000
T5355432C,0.000000,0.000000,0.000000,0.000000,0.890746,2.102420
T5323285B,0.000000,0.000000,-1.476279,-0.051488,0.000000,0.000000
T226192954C,0.000000,0.000000,0.000000,0.000000,0.351550,0.835068
T5207292C,0.000000,0.000000,0.000000,0.000000,0.319209,0.844552
T5337672B,0.000000,0.000000,-0.893268,-0.004628,0.000000,0.000000
T5442373C,0.000000,0.000000,0.000000,0.000000,0.554557,1.386087
T21470405A,1.102985,-1.683769,0.000000,0.000000,0.000000,0.000000
T5218474A,1.772627,-1.911674,0.000000,0.000000,0.000000,0.000000
T5218472A,0.881277,-0.951468,0.000000,0.000000,0.000000,0.000000
T5356014A,0.288677,-0.450314,0.000000,0.000000,0.000000,0.000000
T5260528C,0.000000,0.000000,0.000000,0.000000,0.506514,1.411530
T5355933A,0.288525,-0.449844,0.000000,0.000000,0.000000,0.000000
T5138649A,0.805997,-1.046101,0.000000,0.000000,0.000000,0.000000
T5391978C,0.000000,0.000000,0.000000,0.000000,0.596775,1.423627
T5138642A,0.484607,-0.632123,0.000000,0.000000,0.000000,0.000000
T21149420A,0.731976,-1.111986,0.000000,0.000000,0.000000,0.000000
T21382992A,0.760853,-1.132768,0.000000,0.000000,0.000000,0.000000
T5338958C,0.000000,0.000000,0.000000,0.000000,0.604064,1.405678
T5355585B,0.000000,0.000000,-0.885474,-0.000956,0.000000,0.000000
T5338900A,0.439381,-0.664077,0.000000,0.000000,0.000000,0.000000
T5323389B,0.000000,0.000000,-1.518429,-0.003945,0.000000,0.000000
T28127253A,1.080507,-1.643457,0.000000,0.000000,0.000000,0.000000
T21397067A,0.434138,-0.672350,0.000000,0.000000,0.000000,0.000000
T5260520B,0.000000,0.000000,-0.291177,-0.045711,0.000000,0.000000
T5323250B,0.000000,0.000000,-0.901617,-0.004038,0.000000,0.000000
T5337659C,0.000000,0.000000,0.000000,0.000000,0.609152,1.405509
T28118903B,0.000000,0.000000,-1.487836,0.000405,0.000000,0.000000
T21398646B,0.000000,0.000000,-1.517143,-0.000757,0.000000,0.000000
T5293656B,0.000000,0.000000,-0.870765,-0.016001,0.000000,0.000000
T5338910C,0.000000,0.000000,0.000000,0.000000,0.583120,1.383147
T28129923C,0.000000,0.000000,0.000000,0.000000,0.272537,0.846617
T5337716A,0.445627,-0.690715,0.000000,0.000000,0.000000,0.000000
T5337698B,0.000000,0.000000,-0.600626,-0.001342,0.000000,0.000000
T2224386946A,0.727384,-1.116920,0.000000,0.000000,0.000000,0.000000
T5330121B,0.000000,0.000000,-0.567168,-0.073628,0.000000,0.000000
T5323252B,0.000000,0.000000,-0.902337,-0.003853,0.000000,0.000000
T5441331C,0.000000,0.000000,0.000000,0.000000,0.586124,1.390202
T5260474A,0.862659,-1.048815,0.000000,0.000000,0.000000,0.000000
T5355376B,0.000000,0.000000,-0.587949,-0.000811,0.000000,0.000000
T5338944C,0.000000,0.000000,0.000000,0.000000,0.234380,0.556512
T5260640C,0.000000,0.000000,0.000000,0.000000,0.295389,0.844743
T5274997C,0.000000,0.000000,0.000000,0.000000,0.548087,1.432611
T5138372C,0.000000,0.000000,0.000000,0.000000,0.225976,0.560933
T226308721A,1.742405,-2.279398,0.000000,0.000000,0.000000,0.000000
T21380616A,0.736135,-1.114443,0.000000,0.000000,0.000000,0.000000
T226193170A,0.729892,-1.110990,0.000000,0.000000,0.000000,0.000000
T5293666C,0.000000,0.000000,0.000000,0.000000,0.237678,0.566732
T5338994B,0.000000,0.000000,-2.945446,-0.110628,0.000000,0.000000
T228665517C,0.000000,0.000000,0.000000,0.000000,0.878616,2.086783
T5260647A,0.346402,-0.411217,0.000000,0.000000,0.000000,0.000000
T226115278A,0.460932,-0.642436,0.000000,0.000000,0.000000,0.000000
T5338977A,0.303068,-0.446586,0.000000,0.000000,0.000000,0.000000
T5338977B,0.000000,0.000000,-0.580734,-0.020242,0.000000,0.000000
T5338977C,0.000000,0.000000,0.000000,0.000000,0.225766,0.551164
T5321876A,0.442236,-0.694430,0.000000,0.000000,0.000000,0.000000
T5275001C,0.000000,0.000000,0.000000,0.000000,0.328962,0.858199
T227411650C,0.000000,0.000000,0.000000,0.000000,0.442138,1.434842
T21396699B,0.000000,0.000000,-1.507021,-0.006844,0.000000,0.000000
T5302412A,1.243762,-1.632996,0.000000,0.000000,0.000000,0.000000
T2223661373A,0.737113,-1.166412,0.000000,0.000000,0.000000,0.000000
T226881700A,0.764854,-1.109594,0.000000,0.000000,0.000000,0.000000
T5355777B,0.000000,0.000000,-1.465534,-0.004778,0.000000,0.000000
T5337671A,0.440118,-0.668765,0.000000,0.000000,0.000000,0.000000
T5339018A,0.459036,-0.662492,0.000000,0.000000,0.000000,0.000000
T21398676A,0.443199,-0.683915,0.000000,0.000000,0.000000,0.000000
T5138469C,0.000000,0.000000,0.000000,0.000000,0.338755,0.841424
