# Voltage_8500.csv run at 2000-09-01 12:00:00 PDT on 9883 powerflow objects (not all are nodes)
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
CapBank0,5095.379875,-4512.008603,-6665.377973,-1953.963749,967.475612,7031.980804
CapBank1,5584.400231,-3981.320561,-6330.730658,-2830.201937,590.837641,7079.650549
CapBank2,6052.564615,-3839.120501,-6359.802801,-3326.353608,282.499436,7179.399865
CapBank3,5445.006149,-4293.573505,-6445.202518,-2445.393193,968.777435,6953.795560
SX2673305B,-108.991178,-42.939596,-108.991178,-42.939596,0.000000,0.000000
SX3048196B,-108.853570,-42.896644,-108.853570,-42.896644,0.000000,0.000000
SX2991911C,15.675971,114.971222,15.675971,114.971222,0.000000,0.000000
SX2973158C,15.520872,115.318143,15.520872,115.318143,0.000000,0.000000
SX3048208A,92.910114,-71.895488,92.910114,-71.895488,0.000000,0.000000
SX3029502A,85.394292,-66.138376,85.394292,-66.138376,0.000000,0.000000
SX3104125B,-101.051541,-40.161596,-101.051541,-40.161596,0.000000,0.000000
SX3160107A,86.448411,-66.696471,86.448411,-66.696471,0.000000,0.000000
SX2785516B,-108.754506,-42.824238,-108.754506,-42.824238,0.000000,0.000000
SX3141400A,87.352494,-67.082265,87.352494,-67.082265,0.000000,0.000000
SX2897775C,15.737043,114.144408,15.737043,114.144408,0.000000,0.000000
SX3010565C,15.840566,114.537168,15.840566,114.537168,0.000000,0.000000
SX2916609C,15.793971,114.512484,15.793971,114.512484,0.000000,0.000000
SX2879073C,15.813337,114.334827,15.813337,114.334827,0.000000,0.000000
SX3104126C,15.839151,114.548884,15.839151,114.548884,0.000000,0.000000
SX3029503C,15.797501,114.475449,15.797501,114.475449,0.000000,0.000000
SX2691950C,15.724188,114.254526,15.724188,114.254526,0.000000,0.000000
SX2691951C,15.702605,114.444731,15.702605,114.444731,0.000000,0.000000
SX2879076C,15.817204,114.742316,15.817204,114.742316,0.000000,0.000000
SX2841630C,15.702205,114.452384,15.702205,114.452384,0.000000,0.000000
SX2841629C,15.614941,114.131348,15.614941,114.131348,0.000000,0.000000
SX2785523C,15.776556,114.667809,15.776556,114.667809,0.000000,0.000000
SX3216347C,15.773335,114.694950,15.773335,114.694950,0.000000,0.000000
SX3141388C,15.815310,114.767067,15.815310,114.767067,0.000000,0.000000
SX3066801C,15.828405,114.656861,15.828405,114.656861,0.000000,0.000000
SX2879055C,15.829884,114.644627,15.829884,114.644627,0.000000,0.000000
SX2973144C,15.727237,114.239257,15.727237,114.239257,0.000000,0.000000
SX2785518C,15.800546,114.465945,15.800546,114.465945,0.000000,0.000000
SX2766717C,15.836193,114.592409,15.836193,114.592409,0.000000,0.000000
SX2673309C,15.731612,114.202423,15.731612,114.202423,0.000000,0.000000
SX3104113A,90.780463,-71.513996,90.780463,-71.513996,0.000000,0.000000
SX3104121A,90.781492,-71.514261,90.781492,-71.514261,0.000000,0.000000
SX2673310A,90.786412,-71.515528,90.786412,-71.515528,0.000000,0.000000
SX2916627A,90.793699,-71.517405,90.793699,-71.517405,0.000000,0.000000
SX2804283A,90.810521,-71.521737,90.810521,-71.521737,0.000000,0.000000
SX3104122A,90.828029,-71.529390,90.828029,-71.529390,0.000000,0.000000
SX2785519A,90.835794,-71.532783,90.835794,-71.532783,0.000000,0.000000
SX2748129A,90.640890,-71.329918,90.640890,-71.329918,0.000000,0.000000
SX2973151A,91.283810,-71.531162,91.283810,-71.531162,0.000000,0.000000
SX2748146A,91.308579,-71.542007,91.308579,-71.542007,0.000000,0.000000
SX2991913A,91.388690,-71.577040,91.388690,-71.577040,0.000000,0.000000
SX3235253A,90.980252,-71.596998,90.980252,-71.596998,0.000000,0.000000
SX2991907A,91.012028,-71.610408,91.012028,-71.610408,0.000000,0.000000
SX2879064A,91.065927,-71.633927,91.065927,-71.633927,0.000000,0.000000
SX3197637C,15.943686,114.830458,15.943686,114.830458,0.000000,0.000000
SX2860487C,15.844022,114.733893,15.844022,114.733893,0.000000,0.000000
SX2841638C,16.815651,114.486045,16.815651,114.486045,0.000000,0.000000
SX3235256A,89.869912,-71.368957,89.869912,-71.368957,0.000000,0.000000
SX3197630A,89.675286,-71.417591,89.675286,-71.417591,0.000000,0.000000
SX3104120B,-107.196815,-40.421640,-107.196815,-40.421640,0.000000,0.000000
SX2804251A,90.250884,-71.719122,90.250884,-71.719122,0.000000,0.000000
