Original Bus Number,Voltage Magnitude (pu),Voltage Angle (deg)
1,0.961036,0.229696
2,0.979647,0.244082
3,0.971281,0.24321
4,0.998,0.304189
5,1.00168,0.311875
6,0.985465,0.26661
7,0.986501,0.259046
8,1.015,0.396723
9,1.04292,0.523331
10,1.05,0.655642
11,0.984941,0.260782
12,0.99,0.253096
13,0.967487,0.234889
14,0.982805,0.238079
15,0.967206,0.225852
16,0.983187,0.244588
17,0.992738,0.269254
18,0.963505,0.231767
19,0.960158,0.221626
20,0.955904,0.235565
21,0.957253,0.262285
22,0.969114,0.305719
23,1.00026,0.38965
24,0.992,0.384651
25,1.05,0.51289
26,1.015,0.544811
27,0.968,0.294027
28,0.96157,0.264275
29,0.963211,0.247344
30,0.98499,0.356214
31,0.967,0.249522
32,0.967114,0.283372
33,0.971059,0.211229
34,0.988556,0.218297
35,0.983359,0.210876
36,0.982785,0.210932
37,0.994133,0.226457
38,0.963191,0.31582
39,0.971215,0.166748
40,0.97,0.147425
41,0.966845,0.138971
42,0.985,0.16499
43,0.980639,0.215188
44,0.986149,0.255057
45,0.987302,0.285731
46,1.005,0.333636
47,1.01724,0.37121
48,1.02063,0.358825
49,1.025,0.376335
50,1.00154,0.342142
51,0.967591,0.298172
52,0.957457,0.281958
53,0.946273,0.266048
54,0.955,0.282756
55,0.952472,0.277603
56,0.955371,0.281561
57,0.971645,0.300574
58,0.960049,0.285949
59,0.985,0.340818
60,0.993094,0.408994
61,0.995,0.424604
62,0.997715,0.414408
63,0.968578,0.401335
64,0.983636,0.432996
65,1.005,0.488954
66,1.05,0.487608
67,1.0195,0.440431
68,1.00323,0.485014
69,1.035,0.523599
70,0.981601,0.399546
71,0.985642,0.393087
72,0.98,0.378867
73,0.991,0.389158
74,0.958283,0.380698
75,0.966059,0.402789
76,0.937772,0.383843
77,1.00383,0.469676
78,1.00149,0.464303
79,1.00778,0.469483
80,1.04,0.508563
81,0.996786,0.494278
82,0.988738,0.478388
83,0.985331,0.499006
84,0.981815,0.542814
85,0.987638,0.569677
86,0.988377,0.546163
87,1.015,0.550912
88,0.988538,0.624494
89,1.005,0.695456
90,0.985,0.583873
91,0.98,0.584253
92,0.993335,0.592703
93,0.987586,0.540384
94,0.990906,0.502951
95,0.981177,0.486035
96,0.992814,0.483162
97,1.01144,0.489745
98,1.02351,0.481434
99,1.01,0.475073
100,1.017,0.492419
101,0.99291,0.519702
102,0.991871,0.566584
103,1.01,0.427322
104,0.974423,0.381606
105,0.970782,0.361812
106,0.964956,0.35789
107,0.952,0.310414
108,0.970016,0.341665
109,0.970008,0.334059
110,0.973775,0.319967
111,0.98,0.348886
112,0.975,0.266233
113,0.993,0.26819
114,0.962491,0.278063
115,0.962128,0.278002
116,1.005,0.47742
117,0.973824,0.226201
118,0.946289,0.385877
