Original Bus Number,Voltage Magnitude (pu),Voltage Angle (deg)
1,0.961037,0.229704
2,0.979649,0.244091
3,0.971282,0.243217
4,0.998,0.304196
5,1.00168,0.311881
6,0.985465,0.266617
7,0.986501,0.259053
8,1.015,0.396729
9,1.04292,0.523337
10,1.05,0.655648
11,0.984941,0.260789
12,0.99,0.253103
13,0.967487,0.234895
14,0.982805,0.238086
15,0.967206,0.225857
16,0.983187,0.244594
17,0.992738,0.269259
18,0.963505,0.231772
19,0.960158,0.221631
20,0.955904,0.23557
21,0.957253,0.262289
22,0.969114,0.305723
23,1.00026,0.389654
24,0.992,0.384654
25,1.05,0.512894
26,1.015,0.544816
27,0.968,0.294031
28,0.96157,0.26428
29,0.963211,0.247348
30,0.98499,0.356219
31,0.967,0.249527
32,0.967114,0.283376
33,0.971059,0.211233
34,0.988556,0.2183
35,0.983359,0.21088
36,0.982785,0.210935
37,0.994133,0.22646
38,0.963191,0.315823
39,0.971215,0.166751
40,0.97,0.147428
41,0.966845,0.138974
42,0.985,0.164992
43,0.980639,0.215191
44,0.986149,0.255059
45,0.987302,0.285733
46,1.005,0.333637
47,1.01724,0.371211
48,1.02063,0.358826
49,1.025,0.376336
50,1.00154,0.342143
51,0.967591,0.298173
52,0.957457,0.281959
53,0.946273,0.266049
54,0.955,0.282757
55,0.952472,0.277604
56,0.955371,0.281563
57,0.971645,0.300575
58,0.960049,0.285951
59,0.985,0.34082
60,0.993094,0.408995
61,0.995,0.424605
62,0.997715,0.414409
63,0.968578,0.401336
64,0.983636,0.432997
65,1.005,0.488956
66,1.05,0.487609
67,1.0195,0.440432
68,1.00323,0.485014
69,1.035,0.523599
70,0.981601,0.399547
71,0.985642,0.393088
72,0.98,0.378869
73,0.991,0.38916
74,0.958283,0.380698
75,0.966059,0.40279
76,0.937772,0.383844
77,1.00383,0.469676
78,1.00149,0.464303
79,1.00778,0.469484
80,1.04,0.508564
81,0.996786,0.494279
82,0.988738,0.478389
83,0.985331,0.499006
84,0.981815,0.542815
85,0.987638,0.569677
86,0.988377,0.546164
87,1.015,0.550913
88,0.988538,0.624495
89,1.005,0.695456
90,0.985,0.583873
91,0.98,0.584254
92,0.993335,0.592703
93,0.987586,0.540384
94,0.990906,0.502952
95,0.981177,0.486036
96,0.992814,0.483162
97,1.01144,0.489745
98,1.02351,0.481434
99,1.01,0.475073
100,1.017,0.492419
101,0.99291,0.519702
102,0.991871,0.566585
103,1.01,0.427322
104,0.974423,0.381607
105,0.970782,0.361812
106,0.964956,0.35789
107,0.952,0.310414
108,0.970016,0.341665
109,0.970008,0.33406
110,0.973775,0.319967
111,0.98,0.348887
112,0.975,0.266233
113,0.993,0.268195
114,0.962491,0.278067
115,0.962128,0.278006
116,1.005,0.477421
117,0.973824,0.226208
118,0.946289,0.385878
