# file...... slack_meter.csv
# date...... Thu Jul 10 21:10:21 2025
# user...... (null)
# host...... (null)
# target.... meter 6090
# trigger... (none)
# interval.. 1
# limit..... 59
# timestamp,measured_voltage_A,measured_power_A,measured_voltage_B,measured_power_B,measured_voltage_C,measured_power_C
2000-09-01 12:00:00 PDT,+79600-0.7d,+4.1957e+06+8.03161d,+79600-120.7d,+3.80781e+06+6.15433d,+79600+119.3d,+4.12819e+06+2.47042d
2000-09-01 12:00:01 PDT,+79600+0j,+4.15448e+06+586483j,-39800-68935.6j,+3.78574e+06+408071j,-39800+68935.6j,+4.12462e+06+177943j
2000-09-01 12:00:02 PDT,+75668.6+18845.1j,+4.19429e+06+742337j,-21513.4-74953.8j,+3.78078e+06+516884j,-54154.7+56108.5j,+4.18282e+06+271486j
2000-09-01 12:00:03 PDT,+75668.6+18845.1j,+4.19422e+06+742345j,-21513.4-74953.7j,+3.78081e+06+516825j,-54154.6+56108.5j,+4.18285e+06+271540j
2000-09-01 12:00:04 PDT,+75668.6+18845.1j,+4.1942e+06+742395j,-21513.4-74953.7j,+3.78078e+06+516795j,-54154.6+56108.5j,+4.1829e+06+271541j
2000-09-01 12:00:05 PDT,+75668.6+18845.1j,+4.19418e+06+742409j,-21513.4-74953.7j,+3.78078e+06+516770j,-54154.6+56108.5j,+4.18293e+06+271560j
2000-09-01 12:00:06 PDT,+75668.6+18845.1j,+4.19417e+06+742428j,-21513.4-74953.7j,+3.78078e+06+516755j,-54154.6+56108.5j,+4.18295e+06+271562j
2000-09-01 12:00:07 PDT,+75668.6+18845.1j,+4.19416e+06+742435j,-21513.4-74953.7j,+3.78078e+06+516743j,-54154.6+56108.5j,+4.18296e+06+271569j
2000-09-01 12:00:08 PDT,+75668.6+18845.1j,+4.19415e+06+742442j,-21513.4-74953.7j,+3.78077e+06+516736j,-54154.6+56108.5j,+4.18297e+06+271571j
2000-09-01 12:00:09 PDT,+75668.6+18845.1j,+4.19415e+06+742446j,-21513.4-74953.7j,+3.78077e+06+516730j,-54154.6+56108.5j,+4.18297e+06+271573j
2000-09-01 12:00:10 PDT,+75668.6+18845.1j,+4.19415e+06+742449j,-21513.4-74953.7j,+3.78077e+06+516727j,-54154.6+56108.5j,+4.18298e+06+271575j
2000-09-01 12:00:11 PDT,+75668.6+18845.1j,+4.19414e+06+742451j,-21513.4-74953.7j,+3.78077e+06+516725j,-54154.6+56108.5j,+4.18298e+06+271576j
2000-09-01 12:00:12 PDT,+75668.6+18845.1j,+4.19414e+06+742452j,-21513.4-74953.7j,+3.78077e+06+516723j,-54154.6+56108.5j,+4.18298e+06+271576j
2000-09-01 12:00:13 PDT,+75668.6+18845.1j,+4.19414e+06+742453j,-21513.4-74953.7j,+3.78077e+06+516722j,-54154.6+56108.5j,+4.18298e+06+271577j
2000-09-01 12:00:14 PDT,+75668.6+18845.1j,+4.19414e+06+742454j,-21513.4-74953.7j,+3.78077e+06+516721j,-54154.6+56108.5j,+4.18298e+06+271577j
2000-09-01 12:00:15 PDT,+75668.6+18845.1j,+4.19414e+06+742454j,-21513.4-74953.7j,+3.78077e+06+516721j,-54154.6+56108.5j,+4.18298e+06+271577j
2000-09-01 12:00:16 PDT,+75668.6+18845.1j,+4.19414e+06+742454j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271577j
2000-09-01 12:00:17 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271577j
2000-09-01 12:00:18 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:19 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:20 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:21 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:22 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:23 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:24 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:25 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:26 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:27 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:28 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:29 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:30 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:31 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:32 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:33 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:34 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:35 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:36 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:37 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:38 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:39 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:40 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:41 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:42 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:43 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:44 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:45 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:46 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:47 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:48 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:49 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:50 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:51 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:52 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:53 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:54 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:55 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:56 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:57 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:58 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
2000-09-01 12:00:59 PDT,+75668.6+18845.1j,+4.19414e+06+742455j,-21513.4-74953.7j,+3.78077e+06+516720j,-54154.6+56108.5j,+4.18298e+06+271578j
# end of tape
